职位名称,公司名,地点,薪资
Python工程师,静瞳海外投资顾问（深圳）有限公司...,异地招聘,1-2万/月
Python开发工程师,深圳市大富科技股份有限公司,深圳-南山区,0.8-1.5万/月
Python开发工程师,北京展云科技有限公司,北京-丰台区,1.5-2.5万/月
python讲师,成都部落窝科技有限公司,成都-成华区,1-1.5万/月
爬虫工程师（.net方向，非python方向）,深圳前瞻资讯股份有限公司,深圳-福田区,0.7-1万/月
Python高级开发工程师,上海富欣智能交通控制有限公司,苏州-高新区,1.5-2万/月
Python高级开发工程师,北京棣南新宇科技有限公司,北京-海淀区,1.5-2万/月
IT-Python工程师（校招） (MJ000108),深圳市火乐科技发展有限公司,深圳-南山区,0.8-1万/月
python/R工程师（自然语言方向）,上海柯林布瑞信息技术有限公司,上海-徐汇区,0.5-1万/月
Python WEB开发主管,嘉兴构美信息技术有限公司,杭州-江干区,2.5-3万/月
Python后端开发工程师,北京国双科技有限公司,深圳,1.5-3万/月
python爬取工程师,上海恒生聚源数据服务有限公司,上海,1.5-2.5万/月
Python开发工程师,博彦科技股份有限公司,北京,1-1.5万/月
Python开发工程师,广州市凯泽利科技有限公司,广州-天河区,5-7千/月
Python开发,上海恩梯梯数据晋恒软件有限公司,上海-浦东新区,1-1.5万/月
python编程老师,卡巴青少儿科技活动中心,武汉,0.6-1万/月
python开发工程师（PaaS云平台）,杭州焱雷网络科技有限公司,杭州-江干区,15-25万/年
大数据/python开发主管,海南太美航空股份有限公司,成都,3-5万/月
python方向助理工程师,广州众胜科技有限公司,广州-天河区,0.8-1万/月
python爬虫工程师,浙江东驰科技有限公司,杭州-滨江区,1-1.5万/月
Python开发工程师,深圳市菁优智慧教育股份有限公司,深圳-南山区,1-1.5万/月
Python开发工程师,赛速科技,西安-雁塔区,6-8千/月
Python高级开发工程师,西安深思信息科技有限公司,西安-高新技术...,6-9千/月
Python开发工程师（南京）,深圳航天科创实业有限公司,南京,0.8-1万/月
Python工程师,广州华央电子科技有限公司,广州-黄埔区,6-8千/月
Python高级开发工程师,上海悦米信息技术有限公司,上海-徐汇区,1.2-1.8万/月
Python开发工程师（须懂ODOO框架）,深圳前海优管信息技术有限公司,深圳,0.8-1.5万/月
"C++,python开发工程师",杭州金时资产管理有限公司,杭州-西湖区,15-50万/年
Python教员,广东百捷教育投资有限公司,广州-花都区,0.7-1.1万/月
研发工程师（PHP&python）,广州市丰申网络科技有限公司,广州-天河区,1-1.8万/月
Python开发工程师,建活贸易（深圳）有限公司,深圳-南山区,0.9-1.5万/月
python初级开发工程师 python开发 后端开发工程师,深圳米筐科技有限公司,深圳,0.8-1万/月
高级Python开发工程师,亚信科技（成都）有限公司,成都,1.5-2万/月
Python开发工程师,杭州深绘智能科技有限公司,成都-双流区,1-1.5万/月
Python开发工程师,深圳市法本信息技术有限公司上海分...,北京,1.5-2.2万/月
Python后端量化系统开发工程师,深圳市威迈思咨询管理有限公司,深圳-南山区,1-4万/月
Python开发工程师,上海天玑科技股份有限公司,北京-朝阳区,0.8-1.5万/月
Python开发工程师,江苏中路工程技术研究院有限公司,南京-浦口区,1.2-1.8万/月
Java、python高级工程师,中冶东方工程技术有限公司,青岛,0.8-1.5万/月
20届校招-python开发工程师（长沙研究所）,深信服科技股份有限公司,深圳,1-1.5万/月
Python开发工程师实习岗,西安长城华韵电子科技有限公司,西安-碑林区,3-4.5千/月
Python开发工程师,深圳市盛凯信息科技有限公司,深圳-龙岗区,0.8-1万/月
Python开发工程师,广州宝立科技有限公司,广州-天河区,0.9-1.4万/月
Python开发工程师,广州众成医疗器械产业发展有限公司...,广州-越秀区,0.8-1万/月
资深技术专家：python,杭州麦苗网络技术有限公司,杭州-西湖区,2.5-4万/月
java/python高校老师,武汉达内教育有限公司,武汉-洪山区,7-9千/月
Python开发工程师,西安卓易软件科技有限公司,西安-碑林区,0.8-1.2万/月
python自动化测试工程师（实习）,深圳市银河通信科技有限公司,深圳,0.8-1万/月
Python 开发工程师,上海思华科技股份有限公司,上海-浦东新区,0.8-1.5万/月
Python开发工程师,北京联龙博通电子商务技术有限公司...,杭州-滨江区,1.2-1.8万/月
初级Python工程师助理(提供住宿),小马奔腾（大连）实业有限公司,大连-高新园区,3-4.5千/月
软件测试工程师（C++、java、python）,北京天行汇通信息技术有限公司,北京,1-2万/月
Python开发工程师,中讯志远（武汉）科技有限公司,上海-徐汇区,1-1.5万/月
Python开发工程师(01),上海复深蓝软件股份有限公司,杭州-江干区,1.2-1.6万/月
Python自动化测试工程师,上海易宝软件有限公司,西安-高新技术...,0.8-1.5万/月
Python开发工程师,深圳市沃信科技有限公司,深圳,6-8千/月
Python开发工程师（可实习）,西安舟济网络科技有限公司,成都-高新区,4.5-6千/月
Python开发工程师,江苏茂丰人力资源管理有限公司,杭州-余杭区,1-1.5万/月
python开发工程师（南宁）,深圳市馨瑞科技有限公司,南宁,0.8-1万/月
Python开发工程师,武汉康圣达医学检验所有限公司,武汉-洪山区,0.8-1.5万/月
Python开发工程师,杭州半云科技有限公司,福州,0.7-1.2万/月
python开发工程师（数据爬取）,上海卡方信息科技有限公司,杭州-滨江区,1-1.5万/月
Python爬虫工程师,福州灰度科技有限公司,福州-仓山区,0.8-1.3万/月
Python系统工程师,深圳市衍盛资产管理有限公司,深圳,1.5-2万/月
人工智能开发（Python方向）,郑州百尚网络科技有限公司,郑州-高新区,5-8千/月
中级软件工程师(Python),重庆维普资讯有限公司,重庆-渝北区,0.6-1.2万/月
Python开发工程师,深圳市宝能投资集团有限公司,深圳-龙华新区,1.5-2万/月
Python开发工程师,上海非夕机器人科技有限公司,上海-闵行区,1.5-3万/月
Python高级开发工程师,合肥市合趣网络科技有限公司,合肥,1.5-2万/月
Python开发工程师,深圳兆日科技股份有限公司,深圳-福田区,1.1-2万/月
Python软件工程师,大连东软教育科技集团有限公司,大连-高新园区,1-1.8万/月
高级python软件开发工程师,美国多核技术有限公司,深圳,1.5-2万/月
java人工智能（python)开发签约实习生,青岛迈科思软件有限责任公司,青岛,4.5-6千/月
Python开发工程师,绿之能科技,西安-碑林区,6-8千/月
Python开发工程师,无锡开普勒信息技术有限公司,无锡-梁溪区,0.4-1.2万/月
Python开发工程师,深圳市壹佳壹信息技术有限公司,深圳-龙岗区,1-1.5万/月
Python高级开发工程师,深圳趣晓网络科技有限公司,深圳-南山区,1.5-2.5万/月
少儿编程讲师（Java/Android/Python),东莞市童程童美信息科技有限公司,异地招聘,1-1.5万/月
Python工程师,深圳市华腾半导体设备有限公司,深圳-光明新区,1-1.5万/月
Python高级开发工程师,北京文泽智远信息技术有限公司,北京-海淀区,1.5-2万/月
Python开发工程师,武汉辰垚网络科技有限公司,武汉-洪山区,6-8千/月
Python算法工程师,亿翰智库,上海-静安区,1.5-2万/月
Python开发工程师,赛伯尔（大连）信息技术咨询有限公...,大连-高新园区,0.8-1万/月
C++/Python工程师（可视化方向）,成都安世亚太科技有限公司,成都-锦江区,20-30万/年
python开发工程师,“前程无忧”51job.com（光谷）,武汉-江夏区,8-10万/年
Python高级开发工程师,大连华信计算机技术股份有限公司,西安-雁塔区,1.1-1.6万/月
高级开发工程师（PHP/PYTHON/GO方向）,云南省人才服务中心,昆明,1-1.5万/月
Python开发工程师,米思米（中国）精密机械贸易有限公...,上海-静安区,1-2.2万/月
Python开发工程师-苏州,深圳市讯方技术股份有限公司,苏州,0.8-1万/月
高学历人才储备（Python开发经理）,恒信汽车集团股份有限公司,武汉-汉阳区,0.8-1.5万/月
Python开发工程师,南京数坤信息科技有限公司,南京-鼓楼区,1-2万/月
"Python, Swift, Java 软件工程师",宁波创母体网络科技有限公司,宁波,4-6千/月
Python算法工程师,浙江正洁环境科技有限公司,杭州-江干区,1.5-2万/月
Python开发工程师,申朴信息技术（上海）股份有限公司...,上海-浦东新区,1-1.7万/月
python编程老师,武汉卡巴KABBA教育,武汉-洪山区,0.6-1万/月
python自动化测试工程师（游戏项目）,宁波比孚信息科技有限公司,上海-杨浦区,1-1.5万/月
PHP高级程序员(python程序员）,浙江房洽洽网络科技有限公司,宁波,0.8-1.5万/月
python开发工程师,上海全卫物业管理有限公司,上海-杨浦区,1-1.5万/月
Python软件工程师,上海华屹数码科技有限公司,上海-徐汇区,1-1.5万/月
上市医药公司 Python开发工程师,万宝盛华企业管理咨询（上海）有限...,上海-浦东新区,12-18万/年
Python开发工程师,云南紫米科技有限公司,昆明,0.8-1万/月
Python开发工程师,浙江一舟电子科技股份有限公司,宁波-鄞州区,10-15万/年
Python开发工程师,深圳市易佰网络科技有限公司武汉分...,武汉,1-1.5万/月
游戏服务器PYTHON开发(YF),上海辛辣网络科技有限公司,上海-徐汇区,0.8-1.2万/月
Python开发工程师,北京御芯微科技有限公司,重庆-沙坪坝区,0.7-1.2万/月
Python开发工程师,亚创（上海）工程技术有限公司,上海,1-2万/月
Python高级开发工程师,上海催米网络科技有限公司,上海-浦东新区,1.8-3万/月
初级Python工程师助理(双休五险）,大连亚丁科技有限公司,大连,4.5-6千/月
Python开发工程师,深圳市前沿软件开发有限公司,广州-天河区,4.5-6千/月
Python高级开发工程师,尤盛信息技术（上海）有限公司,上海-浦东新区,1.8-3万/月
Python开发工程师,杭州万纵信息科技有限公司,杭州,0.8-1.5万/月
Python开发工程师,北京泽塔云科技股份有限公司,北京-朝阳区,1-2万/月
Python开发工程师,北京三六九数动科技有限公司,北京-朝阳区,2-2.5万/月
Python（AI人工智能）开发实习生,中天软（山东）科技集团有限公司,济南-历下区,6-8千/月
Python开发工程师,云汉芯城（上海）互联网科技股份有...,上海-松江区,1.5-2.5万/月
